basic_date,close_value
04/21/2010,546000
04/22/2010,534000
04/23/2010,530000
04/26/2010,533000
04/27/2010,529000
04/28/2010,523000
04/29/2010,523000
04/30/2010,527000
05/03/2010,523000
05/04/2010,523000
05/06/2010,514000
05/07/2010,512000
05/10/2010,511000
05/11/2010,500000
05/12/2010,510000
05/13/2010,520000
05/14/2010,520000
05/17/2010,519000
05/18/2010,511000
05/19/2010,511000
05/20/2010,500000
05/24/2010,508000
05/25/2010,494000
05/26/2010,492500
05/27/2010,505000
05/28/2010,512000
05/31/2010,516000
06/01/2010,518000
06/03/2010,528000
06/04/2010,539000
06/07/2010,535000
06/08/2010,528000
06/09/2010,515000
06/10/2010,525000
06/11/2010,552000
06/14/2010,560000
06/15/2010,553000
06/16/2010,558000
06/17/2010,553000
06/18/2010,546000
06/21/2010,550000
06/22/2010,535000
06/23/2010,534000
06/24/2010,539000
06/25/2010,537000
06/28/2010,536000
06/29/2010,532000
06/30/2010,525000
07/01/2010,514000
07/02/2010,529000
07/05/2010,528000
07/06/2010,536000
07/07/2010,513000
07/08/2010,520000
07/09/2010,534000
07/12/2010,536000
07/13/2010,537000
07/14/2010,550000
07/15/2010,551000
07/16/2010,546000
07/19/2010,535000
07/20/2010,540000
07/21/2010,550000
07/22/2010,535000
07/23/2010,544000
07/26/2010,548000
07/27/2010,557000
07/28/2010,561000
07/29/2010,560000
07/30/2010,557000
08/02/2010,563000
08/03/2010,567000
08/04/2010,570000
08/05/2010,559000
08/06/2010,548000
08/09/2010,545000
08/10/2010,544000
08/11/2010,539000
08/12/2010,523000
08/13/2010,540000
08/16/2010,543000
08/17/2010,543000
08/18/2010,548000
08/19/2010,546000
08/20/2010,540000
08/23/2010,542000
08/24/2010,540000
08/25/2010,524000
08/26/2010,524000
08/27/2010,530000
08/30/2010,533000
08/31/2010,533000
09/01/2010,540000
09/02/2010,540000
09/03/2010,543000
09/06/2010,548000
09/07/2010,549000
09/08/2010,544000
09/09/2010,544000
09/10/2010,549000
09/13/2010,547000
09/14/2010,548000
09/15/2010,548000
09/16/2010,549000
09/17/2010,556000
09/20/2010,560000
09/24/2010,559000
09/27/2010,547000
09/28/2010,542000
09/29/2010,550000
09/30/2010,557000
10/01/2010,568000
10/04/2010,580000
10/05/2010,578000
10/06/2010,590000
10/07/2010,580000
10/08/2010,568000
10/11/2010,561000
10/12/2010,547000
10/13/2010,548000
10/14/2010,553000
10/15/2010,560000
10/18/2010,551000
10/19/2010,553000
10/20/2010,557000
10/21/2010,556000
10/22/2010,560000
10/25/2010,559000
10/26/2010,558000
10/27/2010,557000
10/28/2010,562000
10/29/2010,553000
11/01/2010,553000
11/02/2010,556000
11/03/2010,558000
11/04/2010,576000
11/05/2010,588000
11/08/2010,592000
11/09/2010,592000
11/10/2010,600000
11/11/2010,596000
11/12/2010,595000
11/15/2010,598000
11/16/2010,598000
11/17/2010,592000
11/18/2010,594000
11/19/2010,604000
11/22/2010,600000
11/23/2010,600000
11/24/2010,599000
11/25/2010,596000
11/26/2010,597000
11/29/2010,590000
11/30/2010,578000
12/01/2010,581000
12/02/2010,613000
12/03/2010,621000
12/06/2010,621000
12/07/2010,623000
12/08/2010,623000
12/09/2010,632000
12/10/2010,630000
12/13/2010,632000
12/14/2010,634000
12/15/2010,630000
12/16/2010,615000
12/17/2010,626000
12/20/2010,630000
12/21/2010,630000
12/22/2010,634000
12/23/2010,638000
12/24/2010,636000
12/27/2010,636000
12/28/2010,640000
12/29/2010,641000
12/30/2010,649000
01/03/2011,687000
01/04/2011,691000
01/05/2011,679000
01/06/2011,671000
01/07/2011,663000
01/10/2011,663000
01/11/2011,658000
01/12/2011,662000
01/13/2011,653000
01/14/2011,658000
01/17/2011,660000
01/18/2011,673000
01/19/2011,687000
